DateTime,AddedIPs,RemovedIPs
1593253007,0,2
1593260768,2,0
1593263029,1,0
1593264998,1,0
1593266900,0,1
1593270729,1,0
1593272709,0,1
1593278475,0,1
1593280350,1,0
1593286142,1,1
1593289036,0,1
1593292842,1,0
1593298613,0,1
1593300493,0,1
1593305543,0,1
1593309388,1,0
1593313262,1,1
1593315147,1,0
1593324751,1,0
1593332412,1,1
1593340132,2,0
1593342129,1,0
1593346171,0,2
1593348018,0,1
1593351875,1,1
1593355970,1,0
1593357902,0,1
1593361700,1,0
1593365806,2,1
1593367722,1,0
1593371551,1,1
1593373469,1,0
1593383080,0,1
1593390999,1,0
1593392895,1,0
1593396755,0,1
1593400589,0,1
1593402517,1,0
1593404422,3,0
1593412099,0,1
1593418367,0,1
1593420258,0,1
1593424145,0,1
1593426017,1,1
1593427935,1,1
1593441391,0,1
1593447151,0,1
1593451220,1,1
1593453157,0,2
1593456973,0,1
1593458911,1,0
1593462735,0,1
1593472361,1,1
1593476172,0,2
1593478113,1,1
1593483876,1,0
1593487933,1,0
1593491074,0,3
1593498995,1,0
1593512411,1,2
1593514340,1,0
1593516310,1,0
1593518177,0,1
1593520093,1,0
1593522162,1,0
1593529934,1,0
1593539533,0,1
1593551289,2,0
1593557295,0,1
1593563059,0,1
1593564997,1,0
1593566891,0,1
1593569782,1,1
1593575611,3,0
1593577482,0,1
1593579387,1,0
1593589252,0,1
1593593316,1,0
1593597131,1,0
1593599054,0,1
1593601105,1,1
1593602919,0,1
1593606040,1,1
1593609858,1,0
1593611795,0,1
1593613714,1,0
1593615759,0,1
1593619958,1,0
1593633385,1,0
1593638177,0,2
1593647802,2,0
1593651741,0,1
1593655495,1,1
1593657376,1,0
1593659332,2,0
1593661218,1,1
1593663162,2,0
1593665059,0,1
1593668896,2,0
1593670827,1,0
1593674668,3,0
1593678494,0,1
1593682330,1,0
1593684578,1,0
1593686435,1,3
1593692446,0,1
1593696260,0,1
1593700094,0,1
1593703233,1,0
1593707077,1,1
1593713300,1,0
1593715217,1,0
1593717166,1,0
1593722920,1,1
1593734609,1,1
1593740413,1,1
1593742359,0,2
1593744257,0,1
1593746210,0,1
1593748095,1,1
1593750052,1,1
1593753751,0,1
1593755798,0,2
1593757693,1,0
1593759795,0,2
1593761775,0,2
1593771416,0,1
1593773294,0,1
1593777170,0,1
1593781004,1,0
1593782895,1,0
1593788935,0,2
1593792735,0,1
1593800505,0,1
1593802334,0,1
1593808097,1,2
1593810180,2,0
1593814090,1,0
1593816014,2,0
1593821776,0,1
1593829456,1,0
1593833294,1,0
1593837168,0,1
1593846498,0,1
1593859934,1,1
1593865716,1,0
1593868616,1,1
1593870524,0,1
1593893819,0,1
1593895729,0,1
1593897620,1,2
1593901488,0,1
1593905296,1,1
1593911295,1,0
1593913216,0,1
1593917077,0,1
1593919006,1,2
1593924752,1,0
1593936492,1,0
1593944229,1,0
1593946147,1,0
1593951864,1,0
1593955692,0,2
1593961724,1,0
1593977054,1,0
1593983782,1,1
1593989539,1,0
1593993408,1,0
1593995293,3,1
1593997358,1,0
1593999158,1,0
1594004927,0,1
1594006813,1,0
1594009012,1,0
1594010896,0,1
1594012814,1,0
1594022575,0,1
1594028479,0,1
1594034183,0,1
1594038016,0,1
1594039936,1,0
1594047747,0,1
1594049821,1,0
1594063211,0,1
1594067077,1,0
1594070901,0,2
1594072941,1,0
1594074992,1,0
1594076896,0,1
1594080746,0,2
1594082653,0,1
1594084595,0,1
1594086500,0,1
1594094193,0,1
1594096106,1,1
1594098115,1,0
1594099957,0,1
1594101922,1,0
1594107652,1,0
1594113386,2,0
1594117240,1,0
1594122994,1,0
1594124896,0,1
1594127086,0,1
1594140792,0,1
1594144606,2,0
1594146507,1,0
1594156668,0,1
1594160444,1,1
1594162406,2,1
1594166213,1,0
1594175564,1,0
1594183734,1,0
1594185620,1,0
1594187533,0,1
1594189486,0,1
1594191403,1,0
1594193270,0,1
1594199328,0,2
1594201242,1,0
1594203134,0,1
1594205088,0,1
1594208919,0,1
1594210830,5,0
1594224499,1,0
1594230251,0,1
1594232172,0,1
